,,,,,,Distance.Time,
"177|""177""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""10374""|""3236""|""OK""",
"178|""178""|""29 E Madison St", Chicago,IL 60602,"USA""|""2614 W Albion Ave", Chicago,IL 60645,"USA""|""18263""|""1654""|""OK""",
"179|""179""|""641 W 63rd St", Chicago,IL 60637,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""30839""|""5138""|""OK""",
"180|""180""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""19576""|""4118""|""OK""",
"181|""181""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""35357""|""5907""|""OK""",
"182|""182""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""26032""|""6536""|""OK""",
"183|""183""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""37779""|""6757""|""OK""",
"184|""184""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""41038""|""7063""|""OK""",
"185|""185""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""42870""|""7655""|""OK""",
"186|""186""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""39965""|""6981""|""OK""",
"187|""187""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""23396""|""5644""|""OK""",
"188|""188""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""39188""|""6544""|""OK""",
"189|""189""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""16624""|""3701""|""OK"""
"190|""190""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""16116""|""3962""|""OK""",
"191|""191""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""16038""|""3653""|""OK""",
"192|""192""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""15265""|""3614""|""OK""",
"193|""193""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""16692""|""3704""|""OK""",
"194|""194""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""18938""|""4263""|""OK""",
"195|""195""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""19433""|""4627""|""OK""",
"196|""196""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""14421""|""3550""|""OK""",
"197|""197""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""24185""|""5361""|""OK""",
"198|""198""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""14257""|""4426""|""OK""",
"199|""199""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""15740""|""5453""|""OK""",
"200|""200""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""12447""|""3831""|""OK""",
"201|""201""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""13796""|""3642""|""OK""",
"202|""202""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""13147""|""3215""|""OK""",
"203|""203""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""13323""|""3368""|""OK""",
"204|""204""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""6608 N Rockwell St", Chicago,IL 60645,"USA""|""40567""|""6583""|""OK""",
"205|""205""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""30209""|""4323""|""OK""",
"206|""206""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""11048""|""1760""|""OK""",
"207|""207""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""11048""|""1760""|""OK""",
"208|""208""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""26383""|""3095""|""OK""",
"209|""209""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""20892""|""3769""|""OK""",
"210|""210""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""21113""|""2684""|""OK""",
"211|""211""|""641 W 63rd St", Chicago,IL 60637,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""23387""|""3262""|""OK""",
"212|""212""|""654 E 47th St", Chicago,IL 60653,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""21344""|""3545""|""OK""",
"213|""213""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""22385""|""3000""|""OK""",
"214|""214""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""27186""|""4493""|""OK""",
"215|""215""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""32889""|""5398""|""OK""",
"216|""216""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""30040""|""4796""|""OK""",
"217|""217""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""15519""|""3016""|""OK""",
"218|""218""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""31293""|""5166""|""OK""",
"219|""219""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""16140""|""2547""|""OK""",
"220|""220""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""19835""|""3013""|""OK""",
"221|""221""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""16894""|""3789""|""OK""",
"222|""222""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""19266""|""3413""|""OK""",
"223|""223""|""200 E 115th St", Chicago,IL 60628,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""34097""|""4571""|""OK""",
"224|""224""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""34303""|""4688""|""OK""",
"225|""225""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""417""|""205""|""OK""",
"226|""226""|""200 E 115th St", Chicago,IL 60628,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""34097""|""4571""|""OK""",
"227|""227""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""18318""|""3903""|""OK""",
"228|""228""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""4274""|""1455""|""OK""",
"229|""229""|""29 E Madison St", Chicago,IL 60602,"USA""|""4620 N Kenmore Ave", Chicago,IL 60640,"USA""|""11822""|""920""|""OK""",
"230|""230""|""641 W 63rd St", Chicago,IL 60637,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""23387""|""3262""|""OK""",
"231|""231""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""11714""|""1940""|""OK""",
"232|""232""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""26190""|""3763""|""OK""",
"233|""233""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""24789""|""3989""|""OK""",
"234|""234""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""31916""|""5133""|""OK""",
"235|""235""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""33616""|""5087""|""OK""",
"236|""236""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""35427""|""4790""|""OK""",
"237|""237""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""32894""|""4342""|""OK""",
"238|""238""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""15519""|""3016""|""OK""",
"239|""239""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""31293""|""5166""|""OK""",
"240|""240""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""10242""|""1910""|""OK"""
"241|""241""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""10067""|""1777""|""OK""",
"242|""242""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""8595""|""1353""|""OK""",
"243|""243""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""7470""|""1622""|""OK""",
"244|""244""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""10320""|""1967""|""OK""",
"245|""245""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""12823""|""2598""|""OK""",
"246|""246""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""10174""|""2592""|""OK""",
"247|""247""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""6978""|""1250""|""OK""",
"248|""248""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""16140""|""2547""|""OK""",
"249|""249""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""9758""|""2373""|""OK""",
"250|""250""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""15486""|""3214""|""OK""",
"251|""251""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""11511""|""2571""|""OK""",
"252|""252""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""16542""|""3541""|""OK""",
"253|""253""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""7554""|""1674""|""OK""",
"254|""254""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""6440""|""2042""|""OK""",
"255|""255""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""4617 N Kenmore Ave", Chicago,IL 60640,"USA""|""33124""|""4644""|""OK""",
"256|""256""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""33922""|""5543""|""OK""",
"257|""257""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""16504""|""2860""|""OK""",
"258|""258""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""16504""|""2860""|""OK""",
"259|""259""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""30096""|""4514""|""OK""",
"260|""260""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""23338""|""4548""|""OK""",
"261|""261""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""24825""|""3820""|""OK""",
"262|""262""|""641 W 63rd St", Chicago,IL 60637,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""27099""|""4398""|""OK""",
"263|""263""|""654 E 47th St", Chicago,IL 60653,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""25193""|""5060""|""OK""",
"264|""264""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""26234""|""4721""|""OK""",
"265|""265""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""23368""|""5729""|""OK""",
"266|""266""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""32165""|""6143""|""OK""",
"267|""267""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""33889""|""5801""|""OK""",
"268|""268""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""19559""|""4090""|""OK""",
"269|""269""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""35457""|""5560""|""OK""",
"270|""270""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""18586""|""3596""|""OK""",
"271|""271""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""17114""|""4070""|""OK""",
"272|""272""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""15578""|""4058""|""OK""",
"273|""273""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""14333""|""3371""|""OK""",
"274|""274""|""200 E 115th St", Chicago,IL 60628,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""37699""|""5310""|""OK""",
"275|""275""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""38015""|""6004""|""OK""",
"276|""276""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""4806""|""1740""|""OK""",
"277|""277""|""200 E 115th St", Chicago,IL 60628,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""37699""|""5310""|""OK""",
"278|""278""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""13438""|""3482""|""OK""",
"279|""279""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""8183""|""2040""|""OK""",
"280|""280""|""29 E Madison St", Chicago,IL 60602,"USA""|""5144 N Claremont Ave", Chicago,IL 60625,"USA""|""15419""|""1405""|""OK""",
"281|""281""|""641 W 63rd St", Chicago,IL 60637,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""27099""|""4398""|""OK""",
"282|""282""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""16406""|""3028""|""OK""",
"283|""283""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""31626""|""4764""|""OK""",
"284|""284""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""22817""|""5416""|""OK""",
"285|""285""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""31561""|""5970""|""OK""",
"286|""286""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""33086""|""6100""|""OK""",
"287|""287""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""33074""|""5869""|""OK""",
"288|""288""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""36607""|""5789""|""OK""",
"289|""289""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""19559""|""4090""|""OK""",
"290|""290""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""35457""|""5560""|""OK""",
"291|""291""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""13270""|""2710""|""OK"""
"292|""292""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""13094""|""2577""|""OK""",
"293|""293""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""12308""|""2489""|""OK""",
"294|""294""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""12095""|""2524""|""OK""",
"295|""295""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""13337""|""2713""|""OK""",
"296|""296""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""15264""|""3066""|""OK""",
"297|""297""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""13872""|""3982""|""OK""",
"298|""298""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""10691""|""2386""|""OK""",
"299|""299""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""18586""|""3596""|""OK""",
"300|""300""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""10740""|""3069""|""OK""",
"301|""301""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""12896""|""4004""|""OK""",
"302|""302""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""9232""|""2234""|""OK""",
"303|""303""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""10618""|""2479""|""OK""",
"304|""304""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""9977""|""2125""|""OK""",
"305|""305""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""9387""|""2937""|""OK""",
"306|""306""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""5145 N Claremont Ave", Chicago,IL 60625,"USA""|""36973""|""5469""|""OK""",
"307|""307""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""30406""|""5163""|""OK""",
"308|""308""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""12811""|""2430""|""OK""",
"309|""309""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""12811""|""2430""|""OK""",
"310|""310""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""26833""|""4586""|""OK""",
"311|""311""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""21924""|""4175""|""OK""",
"312|""312""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""21132""|""3390""|""OK""",
"313|""313""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""23415""|""4226""|""OK""",
"314|""314""|""654 E 47th St", Chicago,IL 60653,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""21363""|""4071""|""OK""",
"315|""315""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""22404""|""3740""|""OK""",
"316|""316""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""19832""|""4632""|""OK""",
"317|""317""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""32909""|""5838""|""OK""",
"318|""318""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""24354""|""5465""|""OK""",
"319|""319""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""17395""|""3938""|""OK""",
"320|""320""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""31625""|""5118""|""OK""",
"321|""321""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""17322""|""3313""|""OK""",
"322|""322""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""13684""|""3360""|""OK""",
"323|""323""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""11768""|""3229""|""OK""",
"324|""324""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""11439""|""2988""|""OK""",
"325|""325""|""200 E 115th St", Chicago,IL 60628,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""34116""|""5671""|""OK""",
"326|""326""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""34581""|""5650""|""OK""",
"327|""327""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""4683""|""1793""|""OK""",
"328|""328""|""200 E 115th St", Chicago,IL 60628,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""34116""|""5671""|""OK""",
"329|""329""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""10804""|""3235""|""OK""",
"330|""330""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""4489""|""1610""|""OK""",
"331|""331""|""29 E Madison St", Chicago,IL 60602,"USA""|""3608 N Leavitt St", Chicago,IL 60618,"USA""|""13702""|""1420""|""OK""",
