"index"|"destination"|"origin"|"distance"|"duration"|"status"
"133"|"133"|"4516 S Karlov Ave, Chicago, IL 60632, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"45794"|"7415"|"OK"
"134"|"134"|"4186 S Archer Ave, Chicago, IL 60632, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"36710"|"6786"|"OK"
"135"|"135"|"3519 S Wolcott Ave, Chicago, IL 60609, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"30576"|"5609"|"OK"
"136"|"136"|"3204 S Lituanica Ave, Chicago, IL 60608, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"29905"|"5715"|"OK"
"137"|"137"|"1330 W 47th St, Chicago, IL 60609, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"27290"|"5306"|"OK"
"138"|"138"|"5505 S Komensky Ave, Chicago, IL 60629, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"30900"|"6343"|"OK"
"139"|"139"|"4132 W 68th St, Chicago, IL 60629, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"28502"|"6954"|"OK"
"140"|"140"|"6655 S Francisco Ave, Chicago, IL 60629, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"27244"|"6932"|"OK"
"141"|"141"|"1630 W 65th St, Chicago, IL 60636, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"24087"|"5907"|"OK"
"142"|"142"|"6407 S Union Ave, Chicago, IL 60621, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"22697"|"5462"|"OK"
"143"|"143"|"7232 S King Dr, Chicago, IL 60619, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"20014"|"4339"|"OK"
"144"|"144"|"3451 W Columbus Ave, Chicago, IL 60652, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"26077"|"6525"|"OK"
"145"|"145"|"8228 S Throop St, Chicago, IL 60620, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"20933"|"5499"|"OK"
"146"|"146"|"9916 S Hoyne Ave, Chicago, IL 60643, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"17774"|"4501"|"OK"
"147"|"147"|"1001 W 97th St, Chicago, IL 60643, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"17077"|"4537"|"OK"
"148"|"148"|"10901 S Lawndale Ave, Chicago, IL 60655, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"19218"|"4937"|"OK"
"149"|"149"|"1836 W Montvale Ave, Chicago, IL 60643, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"15203"|"3960"|"OK"
"150"|"150"|"1309 W Early Ave, Chicago, IL 60660, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"46213"|"7457"|"OK"
"151"|"151"|"5833 W 62nd St, Chicago, IL 60638, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"50398"|"7944"|"OK"
"152"|"152"|"5400 S Francisco Ave, Chicago, IL 60632, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"28750"|"5991"|"OK"
"153"|"153"|"O'Hare, Chicago, IL, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"90163"|"14702"|"OK"
"154"|"154"|"7112 W Talcott Ave, Chicago, IL 60631, USA"|"600 E 130th St, Chicago, IL 60628, USA"|"53073"|"8052"|"OK"
"155"|"155"|"9130 S University Ave, Chicago, IL 60619, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"37827"|"5379"|"OK"
"156"|"156"|"600 E 130th St, Chicago, IL 60628, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"49060"|"7250"|"OK"
"157"|"157"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"0"|"0"|"OK"
"158"|"158"|"6608 N Rockwell St, Chicago, IL 60645, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"5444"|"1892"|"OK"
"159"|"159"|"4617 N Kenmore Ave, Chicago, IL 60640, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"5693"|"1221"|"OK"
"160"|"160"|"5145 N Claremont Ave, Chicago, IL 60625, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"7171"|"2421"|"OK"
"161"|"161"|"3608 N Leavitt St, Chicago, IL 60618, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"10309"|"2565"|"OK"
"162"|"162"|"1041 W Newport Ave, Chicago, IL 60657, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"8213"|"1764"|"OK"
"163"|"163"|"2222 N Halsted St, Chicago, IL 60614, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"10769"|"2121"|"OK"
"164"|"164"|"6946 N Olcott Ave, Chicago, IL 60631, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"13989"|"3536"|"OK"
"165"|"165"|"5382 N Milwaukee Ave, Chicago, IL 60630, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"13025"|"2081"|"OK"
"166"|"166"|"6244 N Leroy Ave, Chicago, IL 60646, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"10385"|"2876"|"OK"
"167"|"167"|"3786 W Bryn Mawr Ave, Chicago, IL 60659, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"9201"|"2899"|"OK"
"168"|"168"|"3719 W Lawrence Ave, Chicago, IL 60625, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"10345"|"2700"|"OK"
"169"|"169"|"5416 W Irving Park Rd, Chicago, IL 60641, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"16110"|"4019"|"OK"
"170"|"170"|"3801 W Irving Park Rd, Chicago, IL 60618, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"12797"|"3195"|"OK"
"171"|"171"|"3632 N Neva Ave, Chicago, IL 60634, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"20806"|"4727"|"OK"
"172"|"172"|"2700 N New England Ave, Chicago, IL 60707, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"23051"|"5378"|"OK"
"173"|"173"|"2542 N Luna Ave, Chicago, IL 60639, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"20218"|"4776"|"OK"
"174"|"174"|"4311 W Fullerton Ave, Chicago, IL 60639, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"17150"|"3885"|"OK"
"175"|"175"|"3137 N Christiana Ave, Chicago, IL 60618, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"13679"|"3343"|"OK"
"176"|"176"|"2844 W Lyndale St, Chicago, IL 60647, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"14502"|"3405"|"OK"
"177"|"177"|"1031 N Hamlin Ave, Chicago, IL 60651, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"21675"|"4741"|"OK"
"178"|"178"|"1941 W Thomas St, Chicago, IL 60622, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"17900"|"3822"|"OK"
"179"|"179"|"942 N LaSalle Dr, Chicago, IL 60610, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"14453"|"2660"|"OK"
"180"|"180"|"735 N Pine Ave, Chicago, IL 60644, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"26170"|"5247"|"OK"
"181"|"181"|"4157 W Wilcox St, Chicago, IL 60624, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"25752"|"4659"|"OK"
"182"|"182"|"155 S Kedzie Ave, Chicago, IL 60612, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"23214"|"4279"|"OK"
"183"|"183"|"1447 W Harrison St, Chicago, IL 60607, USA"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"19547"|"3810"|"OK"
